realization,lambda_short,lambda_long,eigenvalue_ratio,axis_ratio,d_short,d_long,Delta_chi2_LR
N100-0,0.0006185844178027696,0.04244249588050538,68.6122939068889,8.283253823642548,-1.1419263302572171,0.3785597763494728,1.386482899288012
N100-1,0.0005722587625492347,0.03348441595970694,58.51271863543739,7.649360668411275,-0.12503622668432718,1.1982163214158812,1.7119457759683883
N100-2,0.0006086434183703351,0.03978144842852866,65.36084549315416,8.084605463048531,0.8563853912531669,-0.474704088374765,0.9864892913039967
N100-3,0.0005707934365979865,0.0326451892158641,57.19264995483177,7.562582227971593,-0.44950147279470504,1.3875048292810839,2.3677647561621598
N100-4,0.0005970355042289481,0.03437995774763266,57.58444431547376,7.588441494501605,0.14923628535643071,0.7146730345061949,0.7910391739183069
N100-5,0.0006423454719203674,0.04257582412253015,66.28181560188276,8.141364480348656,-0.016810322794737646,-0.9146653474694967,0.6517009024091749
N100-6,0.0006182326451204144,0.04703058631319164,76.07263492860588,8.721962791058322,-0.4046080494795732,-0.28576560937365364,0.1107125939170146
N100-7,0.0006315232294431857,0.04705102334321247,74.50402637555767,8.631571489338294,-1.1355634712247415,-0.3271000749023092,1.1704318150859763
N100-8,0.0006145477154764791,0.04223058650802233,68.71815718211494,8.289641559326611,-0.11082210854691009,-0.3075585614673314,0.02295759162370814
N100-9,0.000544257926367049,0.026429014959310576,48.55972449629843,6.968480788256392,0.9057688235880414,1.5059737546480825,3.20779727888862
N100-10,0.0006020012399745464,0.041732592252942916,69.32310015625123,8.326049492781749,-0.26293769338412354,0.2846158294766571,0.23763941159518254
N100-11,0.0006159261233450125,0.04209066403306397,68.3371957085944,8.266631460794317,-0.09449603709110338,0.08371453120388893,0.058747040447087784
N100-12,0.0005769007605634323,0.03141725149858645,54.458675817835065,7.379612172589767,1.4295630361261251,0.011455059092162408,2.312750985660159
N100-13,0.0006414590880086864,0.04805889181313526,74.92121120666773,8.655703969445105,0.4805261408473631,-0.8286203331523128,0.7799066488994413
N100-14,0.0006472477490946722,0.05094234043102645,78.7060912954603,8.871645354468376,-1.1930006464581406,-1.1989639367276468,2.7667464233911687
N100-15,0.0005699058468004393,0.03345614910656042,58.70469533588689,7.661898937984427,0.25146193362004243,1.4737753300651504,2.4954597628645843
N100-16,0.0005975672455082899,0.040874179673211206,68.40097073668032,8.270487938246468,-1.2616965472581576,0.649457283546913,1.9862353766209253
N100-17,0.0005707666951935231,0.031044327062834044,54.39057205730656,7.374996410663978,-0.015217729009789193,1.7526126951019692,3.2422105528980865
N100-18,0.0006407786128337495,0.05245291295877919,81.85808937475905,9.047546041593767,-0.7630773220953679,-0.9566715458061049,1.2769369323575575
N100-19,0.0006212618225469709,0.04360272800997505,70.18414205981318,8.37759763057484,-1.3424681489025125,0.6593583303276975,2.229182898475983
N100-20,0.0006030137955271957,0.03699560070174325,61.35116804317749,7.8326986437100645,-0.4334646934720014,0.9632999458037591,1.350567425739655
N100-21,0.0006497321330317911,0.04731799180977596,72.82692267193242,8.533869150152961,1.9127847844873698,-2.141766556088886,8.17545941586991
N100-22,0.0006534009671207172,0.05024176321603713,76.89269796681347,8.768848155077922,1.358887371072457,-1.6519814219234323,4.422830379616244
N100-23,0.0006325758444467752,0.054010956701757165,85.3825785096061,9.240269395943287,0.24696016037247204,-0.08611357177087929,0.13760130129912795
N100-24,0.0006348261490070416,0.03947445164143838,62.1815148969242,7.885525657616251,0.1465445570797259,-0.6591389859376052,0.33014219955271074
N100-25,0.0005942916703353216,0.036987341842593155,62.2376918419932,7.88908688264955,2.0821738258972897,0.09879902172402108,4.707473278961288
N100-26,0.000631576548926077,0.04397599597495368,69.62892471186554,8.344394808005283,-0.33649390889770403,-0.7688150147509534,0.4914792623917492
N100-27,0.0006522819821486651,0.0542927545626836,83.23509777755818,9.12332712213906,-0.8184799000784918,-1.5830121671203108,3.2295627586865976
N100-28,0.0005930162475016063,0.0329498256502202,55.563107737838074,7.454066523572088,1.7704538600439943,0.23008061461157384,3.5259521329369363
N100-29,0.0006051209868517606,0.04046848782265761,66.87668863246908,8.177816862248083,-1.1029335364486879,0.34326431028390736,1.2694244870372131
N100-30,0.0005624382892209601,0.031232333358370473,55.53024030712907,7.4518615330083176,-0.05529436157033884,1.5480946571138645,2.6316330623340036
N100-31,0.0006160558106145298,0.04279308075548818,69.46299347911531,8.334446201105104,0.5387760171601037,-0.4190687612661845,0.48739980202822153
N100-32,0.0006682408399880021,0.05904228742630423,88.3548024801422,9.399723532112112,-0.0684851270583476,-1.6526121537150384,2.6474238418586538
N100-33,0.0005420725474480637,0.029030720628847533,53.55504676544976,7.318131371152732,-0.3126955343021775,2.432798177778671,5.988506574440862
N100-34,0.0006681543418624967,0.06089776399434202,91.14325864378581,9.546897854475338,-0.667213922498678,-1.9704930540373469,4.677995752401785
N100-35,0.0006242860035935276,0.03951624299733831,63.29830041018718,7.956022901562513,-0.7456775645585294,0.4802440094635517,0.8129657132340071
N100-36,0.000645044831413623,0.04945747188957168,76.6729217582987,8.75630754132692,-0.00015113588934025747,-0.982933397832968,0.7347745869890332
N100-37,0.000592384952675447,0.03651808619051686,61.645870688623326,7.85148843778193,0.5341669840933622,0.7557120943737221,1.1848270003022208
N100-38,0.0006018642063759416,0.03779190479817734,62.79141440514811,7.924103381780687,-0.29156054148224236,0.12337724856534153,0.11234249785798056
N100-39,0.000590387419352676,0.040001884452178005,67.75531310615942,8.231361558464032,-0.3534898449478381,0.6459379731581066,0.7376349328771994
N100-40,0.0006448824450867423,0.051796627175800504,80.31948701725538,8.962113981492056,-0.6592750453096387,-1.040066518008743,1.3146417389300495
N100-41,0.0006171393391483686,0.04049596990657925,65.61884381323401,8.100545896001949,-0.23530655828051575,-0.4741505610690283,0.13360195377390482
N100-42,0.0006375849905290637,0.0439557641748973,68.94102720081774,8.303073358752032,-0.4279561135629474,-0.4893037814007355,0.23630190317476263
N100-43,0.0005874637660017276,0.03533484692962627,60.148129935084974,7.755522544296095,1.1935523642356385,-0.08903070292901338,1.6723005314845523
N100-44,0.0005728141179707408,0.038481839171496265,67.18032598048136,8.196360532607223,0.008526055551515777,0.5508195925244423,0.5156053619637078
N100-45,0.0005940676710259278,0.04002084909932673,67.3674920404481,8.207770223419276,-1.1902951365578998,1.2260096694844274,3.0981834507135773
N100-46,0.0005751765369538452,0.033803888640932034,58.77132753008076,7.666245986796977,0.7735650890546851,0.3236600212656029,0.9481804926863333
N100-47,0.0006414306204120478,0.04217322669180651,65.7486957275518,8.108556944830061,-0.9435610906769949,0.36589827639778677,1.025767874462872
N100-48,0.0006182502131521593,0.04622130053391219,74.76147933415518,8.646472074444882,0.11183186176760063,-0.6657501989250522,0.3130364710393678
N100-49,0.0005834522017242837,0.038520460676122276,66.02162192940959,8.125369033429164,-0.8299607821114118,0.4824927090847403,0.95109808756456
N100-50,0.000616137747574188,0.04536755208689867,73.63215817488287,8.580918259422058,-0.8780765220103253,-0.1537751024247615,0.6193588547203035
