parameter,generating_value,realization_estimator,ensemble_mean,bias,standard_error_of_bias,rmse,pull_mean,pull_width
omega_m,0.147,posterior_median,0.1469654873298799,-3.4512670120085965e-05,0.00010740326174360345,0.0010692061200171612,-0.015444953998297973,1.0964795957748361
H0,70.0,posterior_median,70.04846662639399,0.04846662639399682,0.06851510121223739,0.6834373447450801,0.0612540719439537,1.0168838735784513
Omega_m0,0.3,posterior_median,0.29957537910985965,-0.0004246208901402782,0.0006104591879195623,0.006088816345708687,-0.09271979717484409,1.0337813275845646
w0,-1.0,posterior_median,-0.9988197380650466,0.0011802619349534083,0.0053163026808926124,0.05290970953924083,-0.006556405483883314,1.0217668880524136
wa,0.0,posterior_median,-0.015076081639429407,-0.015076081639429407,0.02063488389261316,0.20586727066364802,0.01947374424402456,1.0786817084921685
wp,-1.0,posterior_median,-1.001248195865097,-0.0012481958650968072,0.0025527714734034537,0.025430406411704604,-0.03937875365704522,1.0106195318013376
