realization,Delta_chi2_BAO_LR,Delta_chi2_CMB_LR,Delta_chi2_SN_LR,total_Delta_chi2_LR,classification
N100-19,0.5786342728012599,-0.026042712064773155,1.67659133773941,2.229182898475983,SNE dominated
N100-20,0.36563952444572934,0.13084585821190473,0.8540820430819167,1.350567425739655,SNE dominated
N100-21,1.3017043623956859,0.27514966064341895,6.598605392830905,8.17545941586991,SNE dominated
N100-22,1.1977996867996161,-0.07016523388039086,3.2951959266970334,4.422830379616244,SNE dominated
N100-23,-0.63641906821546,0.7323120499765468,0.0417083195379746,0.13760130129912795,CMB dominated
N100-24,-0.08278173607351214,0.42218922204629816,-0.00926528642003177,0.33014219955271074,CMB dominated
N100-25,0.15957163895419146,1.9271024096185572,2.6207992303884566,4.707473278961288,SNE dominated
N100-26,-0.7531296944343389,0.6258703356347883,0.618738621191369,0.4914792623917492,broadly shared
N100-27,2.7142954929286116,1.3651623694496,-0.8498951036917788,3.2295627586865976,BAO+CMB aligned
N100-28,2.1773362937267535,-0.010948903215935585,1.3595647424260733,3.5259521329369363,BAO dominated
N100-29,-0.2350694241097564,0.09575079004298098,1.408743121103953,1.2694244870372131,SNE dominated
N100-30,0.8308483712582699,0.5630706450348703,1.2377140460407645,2.6316330623340036,broadly shared
N100-31,0.24574684147677317,0.13871516602872874,0.10293779452263152,0.48739980202822153,BAO+CMB aligned
N100-32,1.561873295111739,0.7454081834399241,0.3401423633069953,2.6474238418586538,BAO+CMB aligned
N100-33,1.3752636171238608,1.4811664939357556,3.1320764633812814,5.988506574440862,broadly shared
N100-34,0.19130992361934762,2.546441269466105,1.9402445593163975,4.677995752401785,broadly shared
N100-35,-0.15717737025675582,-0.018417075563250642,0.9885601590540318,0.8129657132340071,SNE dominated
N100-36,-0.8969144603653056,0.6323006418225405,0.9993884055318176,0.7347745869890332,SNE dominated
N100-37,0.7484615852439642,0.9067278936635609,-0.4703624786052387,1.1848270003022208,BAO+CMB aligned
N100-38,0.31780675497699207,-0.06054608581303533,-0.14491817130601703,0.11234249785798056,BAO dominated
N100-39,0.5079848131035885,0.39588613421395036,-0.166236014440301,0.7376349328771994,BAO+CMB aligned
N100-40,1.9050333410955105,0.0063650724433986505,-0.5967566746089688,1.3146417389300495,BAO+CMB aligned
N100-41,-0.42135856607761824,0.36448480851805565,0.19047571133364727,0.13360195377390482,CMB dominated
N100-42,-0.2261101912207497,0.4132087163252099,0.0492033780701604,0.23630190317476263,CMB dominated
N100-43,0.6491233144702502,-0.21894487358504827,1.2421220905994232,1.6723005314845523,SNE dominated
N100-44,-0.6515078325997514,0.8825431591427413,0.28457003542075654,0.5156053619637078,CMB dominated
N100-45,0.9477491574176238,0.37060277209265335,1.779831521203505,3.0981834507135773,SNE dominated
N100-46,1.6381123815165495,-0.11951244930413982,-0.5704194395261766,0.9481804926863333,BAO dominated
N100-47,0.11759591282795512,0.06014569864791641,0.8480262629871049,1.025767874462872,SNE dominated
N100-48,-0.05357222654530425,-0.12303879210357932,0.4896474896881955,0.3130364710393678,SNE dominated
N100-49,-0.047856024102870265,-0.0007378563241509076,0.9996919679915663,0.95109808756456,SNE dominated
N100-50,0.262994015840917,0.11843928931692078,0.23792554956253298,0.6193588547203035,broadly shared
N100-51,-0.17718942273766558,0.399969085677863,4.123070493350497,4.34585015629068,SNE dominated
N100-52,-0.6649441297557761,0.6684072634883181,2.505245144190667,2.5087082779232333,SNE dominated
N100-53,1.1063949987895083,-0.7335791902166382,0.7663095388804777,1.1391253474532732,BAO dominated
N100-54,-0.0996967696158535,-0.007867679672482364,0.1867339519806137,0.07916950269236622,SNE dominated
N100-55,0.8374626674016694,0.3401265477002031,-0.3557108174854875,0.821878397616274,BAO+CMB aligned
N100-56,-0.04059905152781873,0.7813168519544755,0.5198852666035236,1.2606030670301607,CMB dominated
N100-57,-0.047689435526185875,-0.052633230959271256,0.4993822523365452,0.39905958585109147,SNE dominated
