realization,w0_marginal68_contains_generating_value,w0_marginal95_contains_generating_value,wa_marginal68_contains_generating_value,wa_marginal95_contains_generating_value,wp_marginal68_contains_generating_value,wp_marginal95_contains_generating_value,H0_marginal68_contains_generating_value,H0_marginal95_contains_generating_value,Omega_m0_marginal68_contains_generating_value,Omega_m0_marginal95_contains_generating_value,HPD68_contains_generating_point,HPD95_contains_generating_point,ellipse68_contains_generating_point,ellipse95_contains_generating_point
N100-78,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-79,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-80,False,True,False,True,True,True,True,True,True,True,True,True,True,True
N100-81,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-82,False,False,False,False,False,True,False,True,False,True,False,True,False,True
N100-83,False,False,False,True,False,True,False,True,False,True,False,True,False,True
N100-84,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-85,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-86,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-87,True,True,False,True,False,False,False,True,True,True,False,False,False,False
N100-88,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-89,True,True,False,True,False,True,False,False,False,True,False,True,False,True
N100-90,True,True,True,True,False,True,True,True,True,True,True,True,False,True
N100-91,True,True,False,True,False,False,False,True,False,True,False,True,False,True
N100-92,False,True,True,True,False,True,True,True,True,True,True,True,True,True
N100-93,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-94,False,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-95,True,True,False,True,True,True,True,True,True,True,True,True,True,True
N100-96,False,True,True,True,False,True,False,True,False,True,False,True,False,True
N100-97,False,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-98,False,True,False,True,False,True,False,False,False,False,False,True,False,True
N100-99,True,True,True,True,False,True,True,True,True,True,True,True,True,True
